item_no,text,family,lane,argument,cluster_id,cluster_name,originator,originator_work,originator_year,real_source_cited,verdict
1,Michelson–Morley experiment null result.,A,A-EXP,ARG-A01,A01,Michelson–Morley null proves Earth is not moving,Walter van der Kamp,The Heart of the Matter,1968,"Michelson & Morley 1887, Am. J. Sci. 34:333",STANDARD PHYSICS
2,Michelson–Gale ether drift detection.,A,A-EXP,ARG-A02,A02,Michelson–Gale / Sagnac interferometry shows a stationary Earth,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"Michelson, Gale & Pearson 1925, ApJ 61:140",REFUTED
3,Sagnac effect consistent with stationary Earth.,A,A-EXP,ARG-A02,A02,Michelson–Gale / Sagnac interferometry shows a stationary Earth,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"Michelson, Gale & Pearson 1925, ApJ 61:140",REFUTED
4,Airy's failure to detect starlight motion.,A,A-EXP,ARG-A03,A03,“Airy's failure” — water-filled telescope shows no Earth motion,Walter van der Kamp,De Labore Solis: Airy's Failure Reconsidered,1988,"G. B. Airy 1871, Proc. Roy. Soc. London, pp. 35–39",REFUTED
5,Lack of stellar parallax in early measurements.,A,A-EXP,ARG-A05,A05,No measurable stellar parallax,Samuel Rowbotham,"Zetetic Astronomy, 3rd ed. enl. (1881), ch. III (as “Parallax”)",1881,"Bessel 1838 (61 Cygni, 0.314″); ESA Gaia DR3",REFUTED
6,Coriolis effects reinterpreted as rotating heavens.,A,A-EXP,ARG-A09,A09,Coriolis effects reassigned to a rotating sky or to electromagnetism,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Gaspard-Gustave de Coriolis 1835,STANDARD PHYSICS
7,Stellar aberration optical not mechanical.,A,A-EXP,ARG-A04,A04,"Stellar aberration is optical/parallax, not Earth's motion",Walter van der Kamp,Bulletin of the Tychonian Society,1970s,James Bradley 1729,REFUTED
8,Constant stellar angular sizes.,A,A-EXP,ARG-A05,A05,No measurable stellar parallax,Samuel Rowbotham,"Zetetic Astronomy, 3rd ed. enl. (1881), ch. III (as “Parallax”)",1881,"Bessel 1838 (61 Cygni, 0.314″); ESA Gaia DR3",REFUTED
9,Uniform star distribution in all directions.,E,E,ARG-E17,E17,Observed isotropy / Earth-centred fields imply we are the centre,,,,,MISLEADING
10,Michelson–Pease null rotation detection.,A,A-EXP,ARG-A11,A11,Michelson–Pease–Pearson null result,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"Michelson, Pease & Pearson, Nature 123:88 (19 Jan 1929); J. Opt. Soc. Am. 18(3):181–182 (Mar 1929) — the two printings state different limits",STANDARD PHYSICS
11,Foucault pendulum explainable by rotating firmament.,A,A-EXP,ARG-A06,A06,Foucault pendulum explained by a rotating firmament,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Léon Foucault 1851,STANDARD PHYSICS
